Geography,Gender,age,population
North Carolina,male,50_to_54_years,334103
North Carolina,male,55_to_59_years,329908
North Carolina,male,60_to_64_years,296040
North Carolina,male,65_to_69_years,255063
North Carolina,male,70_to_74_years,196829
North Carolina,male,75_to_79_years,123398
North Carolina,male,80_to_84_years,75967
North Carolina,male,85_years_and_over,60903
North Dakota,male,Under_5_years,27546
North Dakota,male,5_to_9_years,25206
North Dakota,male,10_to_14_years,23899
North Dakota,male,15_to_19_years,24662
North Dakota,male,20_to_24_years,34588
North Dakota,male,25_to_29_years,33221
North Dakota,male,30_to_34_years,29081
North Dakota,male,35_to_39_years,25820
North Dakota,male,40_to_44_years,21003
North Dakota,male,45_to_49_years,20421
North Dakota,male,50_to_54_years,21844
North Dakota,male,55_to_59_years,25060
North Dakota,male,60_to_64_years,23209
North Dakota,male,65_to_69_years,18379
North Dakota,male,70_to_74_years,12549
North Dakota,male,75_to_79_years,8349
North Dakota,male,80_to_84_years,6082
North Dakota,male,85_years_and_over,6380
Ohio,male,Under_5_years,357181
Ohio,male,5_to_9_years,362887
Ohio,male,10_to_14_years,376537
Ohio,male,15_to_19_years,392890
Ohio,male,20_to_24_years,389045
Ohio,male,25_to_29_years,402124
Ohio,male,30_to_34_years,364063
Ohio,male,35_to_39_years,356089
Ohio,male,40_to_44_years,330349
Ohio,male,45_to_49_years,368639
Ohio,male,50_to_54_years,381400
Ohio,male,55_to_59_years,406593
Ohio,male,60_to_64_years,373706
Ohio,male,65_to_69_years,305592
Ohio,male,70_to_74_years,218136
Ohio,male,75_to_79_years,145607
Ohio,male,80_to_84_years,95043
Ohio,male,85_years_and_over,87219
Oklahoma,male,Under_5_years,134987
Oklahoma,male,5_to_9_years,137330
Oklahoma,male,10_to_14_years,136919
Oklahoma,male,15_to_19_years,135957
Oklahoma,male,20_to_24_years,142942
Oklahoma,male,25_to_29_years,142287
Oklahoma,male,30_to_34_years,134189
Oklahoma,male,35_to_39_years,128957
Oklahoma,male,40_to_44_years,114258
Oklahoma,male,45_to_49_years,116196
Oklahoma,male,50_to_54_years,117086
Oklahoma,male,55_to_59_years,124784
Oklahoma,male,60_to_64_years,112837
Oklahoma,male,65_to_69_years,92958
Oklahoma,male,70_to_74_years,71244
Oklahoma,male,75_to_79_years,48054
Oklahoma,male,80_to_84_years,30911
Oklahoma,male,85_years_and_over,25666
Oregon,male,Under_5_years,121051
Oregon,male,5_to_9_years,124383
Oregon,male,10_to_14_years,125796
Oregon,male,15_to_19_years,126405
Oregon,male,20_to_24_years,135075
Oregon,male,25_to_29_years,151097
Oregon,male,30_to_34_years,146521
Oregon,male,35_to_39_years,144724
Oregon,male,40_to_44_years,131463
Oregon,male,45_to_49_years,133197
Oregon,male,50_to_54_years,125324
Oregon,male,55_to_59_years,131649
Oregon,male,60_to_64_years,131528
Oregon,male,65_to_69_years,118291
Oregon,male,70_to_74_years,87616
Oregon,male,75_to_79_years,54846
Oregon,male,80_to_84_years,33457
Oregon,male,85_years_and_over,30566
Pennsylvania,male,Under_5_years,362260
Pennsylvania,male,5_to_9_years,372675
Pennsylvania,male,10_to_14_years,386165
Pennsylvania,male,15_to_19_years,416635
Pennsylvania,male,20_to_24_years,422152
Pennsylvania,male,25_to_29_years,445010
Pennsylvania,male,30_to_34_years,413661
Pennsylvania,male,35_to_39_years,384956
Pennsylvania,male,40_to_44_years,355853
Pennsylvania,male,45_to_49_years,405779
Pennsylvania,male,50_to_54_years,432743
Pennsylvania,male,55_to_59_years,456956
Pennsylvania,male,60_to_64_years,421786
Pennsylvania,male,65_to_69_years,345331
Pennsylvania,male,70_to_74_years,254437
Pennsylvania,male,75_to_79_years,169237
Pennsylvania,male,80_to_84_years,113704
Pennsylvania,male,85_years_and_over,111989
Rhode Island,male,Under_5_years,28045
Rhode Island,male,5_to_9_years,28421
Rhode Island,male,10_to_14_years,30342
Rhode Island,male,15_to_19_years,36017
Rhode Island,male,20_to_24_years,39730
Rhode Island,male,25_to_29_years,39121
Rhode Island,male,30_to_34_years,34737
Rhode Island,male,35_to_39_years,32094
Rhode Island,male,40_to_44_years,29193
Rhode Island,male,45_to_49_years,33088
Rhode Island,male,50_to_54_years,36230
Rhode Island,male,55_to_59_years,37289
Rhode Island,male,60_to_64_years,33810
Rhode Island,male,65_to_69_years,27030
Rhode Island,male,70_to_74_years,20091
Rhode Island,male,75_to_79_years,12490
Rhode Island,male,80_to_84_years,8433
Rhode Island,male,85_years_and_over,8830
South Carolina,male,Under_5_years,149964
South Carolina,male,5_to_9_years,156061
South Carolina,male,10_to_14_years,159662
South Carolina,male,15_to_19_years,165026
South Carolina,male,20_to_24_years,173360
South Carolina,male,25_to_29_years,173929
South Carolina,male,30_to_34_years,154446
South Carolina,male,35_to_39_years,151534
South Carolina,male,40_to_44_years,142751
South Carolina,male,45_to_49_years,155386
South Carolina,male,50_to_54_years,158536
South Carolina,male,55_to_59_years,161475
South Carolina,male,60_to_64_years,150991
South Carolina,male,65_to_69_years,138128
South Carolina,male,70_to_74_years,109271
South Carolina,male,75_to_79_years,68196
South Carolina,male,80_to_84_years,39364
South Carolina,male,85_years_and_over,29607
South Dakota,male,Under_5_years,31843
South Dakota,male,5_to_9_years,30992
South Dakota,male,10_to_14_years,30394
South Dakota,male,15_to_19_years,29449
South Dakota,male,20_to_24_years,31087
South Dakota,male,25_to_29_years,29968
South Dakota,male,30_to_34_years,29230
South Dakota,male,35_to_39_years,28164
South Dakota,male,40_to_44_years,24052
South Dakota,male,45_to_49_years,24209
South Dakota,male,50_to_54_years,26281
South Dakota,male,55_to_59_years,29634
South Dakota,male,60_to_64_years,28365
South Dakota,male,65_to_69_years,24218
South Dakota,male,70_to_74_years,16170
South Dakota,male,75_to_79_years,10437
South Dakota,male,80_to_84_years,7360
South Dakota,male,85_years_and_over,7107
